Eval 1,Eval 2,Eval 3,Area(s) of Interest,Faculty Identified,Institution Region (BS),Institution Ranking (BS),BS Major,BS GPA,Institution Region (MS),Institution Ranking (MS),MS Major,MS GPA,Research Experience,Int'l pubs,Int'l pubs counts,GRE Quan,GRE Ver,GRE AWA,GRE Total,TOEFL,IELTS,Has MS,US Degree
1,1,1,Data science (?),0,india,16,Electrical and Electronics Engineering,0.852,,,,,0,0,0,157,150,4,307,,7.5,0,0
2,2,2,"CV, Medical imaging, ML",1,india,54,Industrial Engineering,0.853,,,,,1,1,4,165,152,3.5,317,108,,0,0
0,1,0,Data science,0,saudi arabia,46,Business,0.66,regional universities north,8,Business Intelligence and Analytics,0.925,0,0,0,,,,,,,1,1
2,2,2,NLP,1,india,,Computer Science and Engineering,0.838,us,68,Intelligent Systems Engineering,1,1,0,0,168,157,3.5,325,,,1,1
1,1,1,"ML, NLP",1,nepal,2,Electrical Engineering,0.7027,,,,,0,0,0,160,151,3,311,98,,0,0
2,1,2,"AI, ML",0,bangladesh,8,BACHELOR OF SCIENCE IN COMPUTER SCIENCE AND ENGINEERING,0.9825,,,,,0,1,1,157,146,3.5,303,,8,0,0
2,1,1,"Human-centered AI, ML, Big data",1,bangladesh,2,Computer Science and Engineering,0.7975,,,,,0,1,1,161,155,4.5,316,106,,0,0
2,2,2,"NLP, ML",1,bangladesh,1,Computer science and engineering,0.9125,,,,,0,1,0.5,167,149,3,316,93,,0,0
0,0,1,"ML, Data science",0,us,68,Computer Science,0.75,us,63,Software Engineering,0.9675,0,0,0,,,,,107,,1,1
0,0,0,"AI, ML, Reinforcement learning, NLP",0,bangladesh,5,Computer Science and Engineering,0.75,bangladesh,4,Information Technology,0.7825,1,0,0,131,149,2,280,40,,1,0
1,1,2,"ML, AI, CV, Info retrieval, Data science, NLP, Math, Data mining, HCI",1,sri lanka,1,BSc Engineering specialized in Computer Engineering,0.9625,,,,,0,1,0.5,162,145,3.5,307,99,,0,0
1,1,1,"AI, ML, CV",1,iran,23,Computer Engineering,0.771,,,,,0,0,0,165,135,3,300,96,,0,0
2,2,2,"CV, NLP, Image processing, Data analysis, ML",1,bangladesh,8,Conputer Science and Engineering,0.963,,,,,0,1,3,165,150,3,315,112,,0,0
1,1,1,"ML, Software engineering",0,sudan,2,Computer & Information Systems,,sudan,1,Information Technology,,0,0,0,,,,,,6.5,1,0
