Pair,Metric,MAE,sex,race
P3/P1,GT Train,0.8109090909090909,(0.00) 0.50,(0.01) 0.07
P3/P1,GT Test,0.7963636363636364,(0.00) 0.44,(0.03) 0.13
P3/P1,Unbiased Bridge,0.8504334380636362,(0.00) 0.45,(0.02) 0.14
P3/P1,Biased Bridge,0.0,(0.00) 0.43,(0.01) 0.15
P3/P2,GT Train,0.6597727272727273,(0.04) 0.05,(0.00) -0.17
P3/P2,GT Test,0.6590909090909091,(0.16) 0.06,(0.17) -0.06
P3/P2,Unbiased Bridge,0.6011137809727273,(0.18) 0.05,(0.10) -0.08
P3/P2,Biased Bridge,0.0,(0.20) 0.05,(0.29) -0.04
P3/P3,GT Train,0.0,(0.50) 0.00,(0.50) 0.00
P3/P3,GT Test,0.0,(0.50) 0.00,(0.50) 0.00
P3/P3,Unbiased Bridge,0.6323401571545454,(0.36) -0.02,(0.49) -0.00
P3/P3,Biased Bridge,0.0,(0.40) -0.02,(0.33) 0.03
P3/Average,GT Train,0.5760113636363636,(0.00) 0.16,(0.00) -0.16
P3/Average,GT Test,0.5789848484848485,(0.02) 0.13,(0.11) -0.08
P3/Average,Unbiased Bridge,0.45612765169999997,(0.01) 0.14,(0.06) -0.11
P3/Average,Biased Bridge,0.0,(0.03) 0.12,(0.25) -0.05
