Pair,Metric,Accuracy,sex,race
P3,Train,1.00,(0.50) 0.00,(0.50) 0.00
P3/P1,GT Train,0.80,(0.19) 0.03,(0.00) -0.14
P3/P1,GT Test,0.80,(0.27) 0.04,(0.17) -0.07
P3/P1,Unbiased Bridge,0.80,(0.42) -0.01,(0.05) -0.13
P3/P1,Biased Bridge,1.00,(0.49) -0.00,(0.31) -0.04
P3/P2,GT Train,0.84,(0.00) 0.10,(0.19) 0.03
P3/P2,GT Test,0.84,(0.16) 0.06,(0.41) 0.02
P3/P2,Unbiased Bridge,0.83,(0.45) 0.01,(0.29) -0.04
P3/P2,Biased Bridge,1.00,(0.42) 0.01,(0.36) 0.03
P3/P3,GT Train,1.00,(0.50) 0.00,(0.50) 0.00
P3/P3,GT Test,1.00,(0.50) 0.00,(0.50) 0.00
P3/P3,Unbiased Bridge,0.82,(0.22) -0.05,(0.25) -0.05
P3/P3,Biased Bridge,1.00,(0.32) -0.03,(0.42) 0.02
P3/Average,GT Train,0.86,(0.00) 0.29,(0.06) -0.06
P3/Average,GT Test,0.87,(0.00) 0.22,(0.46) 0.01
P3/Average,Unbiased Bridge,0.85,(0.01) 0.15,(0.25) -0.05
P3/Average,Biased Bridge,1.00,(0.03) 0.11,(0.39) 0.02
