Inject,Accuracy,CBT_sex,CBD_sex,CBT_race,CBD_race,CBT_gt_sex,CBD_gt_sex,CBT_gt_race,CBD_gt_race
None,0.59,0.41,0.02,-0.81,-0.04,0.00,0.00,0.00,0.00
{'sex': 0.1},0.58,3.58,0.19,0.26,0.01,9.65,0.45,0.36,0.01
{'sex': 0.2},0.57,5.95,0.32,-0.56,-0.03,13.37,0.60,-0.89,-0.03
{'sex': -0.1},0.58,-1.38,-0.07,-0.38,-0.02,-7.80,-0.32,-0.23,-0.01
{'sex': -0.2},0.58,-4.63,-0.24,0.69,0.03,-11.80,-0.50,0.40,0.01
{'race': 0.1},0.58,-0.25,-0.01,2.03,0.09,1.65,0.06,7.04,0.22
{'race': 0.2},0.57,0.32,0.02,5.51,0.25,0.85,0.03,14.27,0.43
{'race': -0.1},0.58,0.92,0.05,-2.58,-0.12,3.21,0.12,-10.36,-0.33
{'race': -0.2},0.57,0.40,0.02,-6.54,-0.29,2.44,0.08,-15.60,-0.48
"{'sex': 0.2, 'race': 0.2}",0.57,5.99,0.32,4.79,0.22,12.68,0.51,10.91,0.32
"{'sex': -0.2, 'race': -0.2}",0.57,-4.83,-0.26,-5.47,-0.25,-10.25,-0.36,-14.05,-0.44
"{'sex': 0.2, 'race': -0.2}",0.56,6.91,0.37,-6.41,-0.29,13.97,0.57,-14.55,-0.44
"{'sex': -0.2, 'race': 0.2}",0.58,-3.93,-0.21,4.11,0.19,-9.78,-0.35,10.70,0.32
