Inject,Accuracy,CBT_age,CBD_age,CBT_sex,CBD_sex,CBT_gt_age,CBD_gt_age,CBT_gt_sex,CBD_gt_sex
None,0.69,0.33,0.05,0.31,0.04,0.00,0.00,0.00,0.00
{'sex': 0.1},0.68,-0.35,-0.06,-0.56,-0.07,0.04,0.00,2.59,0.23
{'sex': 0.2},0.67,0.60,0.09,1.33,0.17,2.06,0.21,4.06,0.40
{'sex': -0.1},0.67,-0.88,-0.15,-1.65,-0.21,-1.30,-0.11,-4.34,-0.35
{'sex': -0.2},0.64,-0.77,-0.12,-1.90,-0.25,-1.27,-0.14,-5.66,-0.43
{'age': 0.1},0.70,1.83,0.28,0.31,0.04,2.45,0.33,0.63,0.05
{'age': 0.2},0.68,0.41,0.07,0.01,0.00,3.89,0.52,0.77,0.06
{'age': -0.1},0.67,-1.45,-0.22,-0.44,-0.06,-3.56,-0.39,-0.72,-0.05
{'age': -0.2},0.67,-2.23,-0.35,-0.64,-0.08,-4.45,-0.52,-0.70,-0.06
"{'sex': 0.1, 'age': 0.1}",0.68,2.09,0.34,1.34,0.16,3.52,0.48,2.91,0.26
"{'sex': -0.1, 'age': -0.1}",0.67,-1.62,-0.27,-1.74,-0.22,-4.35,-0.47,-3.41,-0.25
"{'sex': 0.1, 'age': -0.1}",0.65,-0.68,-0.12,0.21,0.03,-2.98,-0.21,1.75,0.15
"{'sex': -0.1, 'age': 0.1}",0.68,0.18,0.03,-0.27,-0.03,1.06,0.10,-2.63,-0.21
