sex,race,base,target,pred,split
0,0,3,4,2.9981556,1
0,0,3,4,3.0167947,1
0,0,1,1,1.1900036,1
0,0,2,2,2.2381182,2
0,0,3,2,3.0116632,1
0,0,2,2,2.4490337,2
0,0,3,3,3.00479,1
0,0,2,3,3.0156996,0
0,0,3,4,2.0915952,0
0,0,3,4,2.993739,1
0,0,2,2,1.8277552,0
0,0,2,3,1.982599,1
0,0,4,5,3.9923081,0
0,0,1,3,2.0521226,0
0,0,2,2,1.9598343,1
0,0,2,3,3.0826073,2
0,0,1,3,1.0519907,1
0,0,2,2,1.9905267,1
0,0,2,3,1.9944694,1
0,0,2,4,2.0079484,1
0,0,1,1,1.0298246,1
0,0,1,1,1.3062971,2
0,0,3,2,3.0263908,1
0,0,3,5,4.2712946,2
0,0,2,2,1.9940987,1
0,0,1,4,2.1223123,0
0,0,3,3,3.0099301,1
0,0,2,2,2.0007026,1
0,0,3,4,3.0250201,1
0,0,4,4,4.014263,1
0,0,3,3,3.0194395,1
0,0,2,4,2.2218504,0
0,0,2,3,2.0073838,2
0,0,1,2,0.9552734,1
0,0,4,3,3.2131588,2
0,0,2,4,2.8440037,2
0,0,3,4,3.0263615,1
0,0,2,3,1.9702799,0
0,0,3,3,3.0197282,1
0,0,2,3,2.0450673,1
0,0,2,2,1.7036552,2
0,0,2,3,2.0016797,1
0,0,2,3,1.9805386,1
0,0,1,1,1.0507603,1
0,0,2,1,1.983355,1
0,0,5,5,4.376737,0
0,0,2,3,2.1095183,2
0,0,3,4,2.3954763,0
0,0,2,3,1.9964767,1
0,0,3,4,2.9955957,0
0,0,2,3,2.008629,1
0,0,1,1,1.2080922,2
0,0,3,3,3.0169408,1
0,0,1,3,1.0701892,1
0,0,1,3,0.952206,1
0,0,2,4,3.3459249,2
0,0,3,4,2.995708,1
0,0,3,5,3.0144527,1
0,0,2,3,1.8878675,2
0,0,1,2,2.6168873,0
0,0,4,4,4.008529,1
0,0,2,2,1.9839439,1
0,0,1,2,1.0415597,1
0,0,3,4,3.0355818,1
0,0,3,3,2.7993903,2
0,0,2,2,2.0027907,1
0,0,2,1,1.9922483,1
0,0,3,3,2.9933922,1
0,0,1,2,1.6374805,2
0,0,1,1,2.8612008,0
0,0,2,1,1.9969277,1
0,0,3,3,3.012766,1
0,0,1,3,1.2315564,1
0,0,1,1,1.1419947,1
0,0,2,2,1.9925299,1
0,0,3,4,2.816901,0
0,0,2,3,1.9829915,1
0,0,2,2,1.9836688,1
0,0,3,4,3.0144973,1
0,0,2,2,1.99791,1
0,0,2,2,1.9925921,1
0,0,3,3,3.0314367,1
0,0,2,3,1.9989614,1
0,0,3,4,3.021421,1
0,0,2,3,1.9853461,1
0,0,2,3,1.9975471,1
0,0,2,3,2.0027573,1
0,0,2,3,2.002039,1
0,0,2,3,2.002307,1
0,0,3,5,3.0242922,1
0,0,2,2,1.9803247,1
0,0,2,2,1.9919086,1
0,0,2,2,2.000796,1
0,0,2,2,3.0346901,2
0,0,1,3,1.0610906,1
0,0,3,3,3.0022414,1
0,0,1,1,1.3047276,1
0,0,2,2,1.991241,1
0,0,3,4,3.0061846,1
0,0,3,4,3.0465484,1
0,0,4,5,3.9837813,1
