Pair,Metric,MAE,sex,race
P1,Train,0.019493992742424245,(0.00) -0.21,(0.00) -0.40
P1/P1,GT Train,0.0,(0.50) 0.00,(0.50) 0.00
P1/P1,GT Test,0.0,(0.50) 0.00,(0.50) 0.00
P1/P1,Unbiased Bridge,0.6070976991636363,(0.04) -0.11,(0.27) -0.04
P1/P1,Biased Bridge,0.0,(0.10) -0.08,(0.44) -0.01
P1,Train,0.019493992742424245,(0.00) -0.21,(0.00) -0.40
P1/P2,GT Train,0.9315909090909091,(0.00) -0.45,(0.00) -0.25
P1/P2,GT Test,0.9372727272727273,(0.00) -0.39,(0.00) -0.19
P1/P2,Unbiased Bridge,0.9470530813454545,(0.00) -0.58,(0.00) -0.28
P1/P2,Biased Bridge,0.0,(0.00) -0.52,(0.00) -0.22
P1,Train,0.019493992742424245,(0.00) -0.21,(0.00) -0.40
P1/P3,GT Train,0.8109090909090909,(0.00) -0.50,(0.01) -0.07
P1/P3,GT Test,0.7963636363636364,(0.00) -0.44,(0.03) -0.13
P1/P3,Unbiased Bridge,0.8565771848,(0.00) -0.57,(0.01) -0.18
P1/P3,Biased Bridge,0.0,(0.00) -0.52,(0.03) -0.14
P1,Train,0.019493992742424245,(0.00) -0.21,(0.00) -0.40
P1/Average,GT Train,0.7026022727272727,(0.00) -0.48,(0.00) -0.25
P1/Average,GT Test,0.7194090909090908,(0.00) -0.43,(0.00) -0.24
P1/Average,Unbiased Bridge,0.647347598981818,(0.00) -0.68,(0.00) -0.36
P1/Average,Biased Bridge,0.0,(0.00) -0.57,(0.00) -0.27
