Pair,Metric,Accuracy,sex: RBT,sex: RBD,race: RBT,race: RBD
P1,Train,0.9666888084060797,-1.27,-0.04,2.29,0.09
P1/P1,GT Train,1.0,0.00,0.00,0.00,0.00
P1/P1,GT Test,1.0,0.00,0.00,0.00,0.00
P1/P1,Pred Test,0.8250141920696638,0.28,0.01,1.35,0.08
P1/P1,Test Bias,1.0,0.58,0.03,0.60,0.04
P1/P2,GT Train,0.8672382436996622,2.34,0.08,4.78,0.20
P1/P2,GT Test,0.8679588128407026,1.11,0.05,2.05,0.13
P1/P2,Pred Test,0.8303692195198165,1.42,0.07,3.73,0.21
P1/P2,Test Bias,1.0,1.63,0.08,2.72,0.16
P1/P3,GT Train,0.7973499610288386,-0.69,-0.02,3.25,0.13
P1/P3,GT Test,0.8140520896426409,-0.92,-0.05,2.02,0.12
P1/P3,Pred Test,0.764932743313313,-0.67,-0.03,3.43,0.19
P1/P3,Test Bias,1.0,-0.33,-0.02,2.58,0.15
P1/Average,GT Train,0.8030657313587946,7.13,0.23,2.89,0.11
P1/Average,GT Test,0.8013325257419746,4.14,0.20,0.83,0.05
P1/Average,Pred Test,0.7563641033298483,4.49,0.22,2.13,0.12
P1/Average,Test Bias,1.0,4.48,0.22,1.37,0.08
