Accuracy,RBD_PredTrain_sex,RBD_PredTrain_race,RBD_GT_Train_sex,RBD_GT_Train_race,RBD_GT_Test_sex,RBD_GT_Test_race,RBD_Unbiased_sex,RBD_Unbiased_race,RBD_Biased_sex,RBD_Biased_race,Inject
0.7996740261979721,-0.50 : -0.00,-0.50 : -0.00,0.50 : 0.00,0.50 : 0.00,0.50 : 0.00,0.50 : 0.00,0.30 : 0.01,-0.05 : -0.05,0.25 : 0.01,-0.02 : -0.03,None
0.7757419624821257,-0.50 : -0.00,0.50 : 0.00,0.00 : 0.20,0.03 : 0.04,0.00 : 0.18,-0.30 : -0.02,0.00 : 0.09,0.15 : 0.03,0.00 : 0.06,0.09 : 0.02,{'sex': 0.1}
0.7483861393874152,-0.49 : -0.00,-0.50 : -0.00,0.00 : 0.29,0.01 : 0.05,0.00 : 0.29,0.24 : 0.02,0.00 : 0.17,0.16 : 0.03,0.00 : 0.11,0.11 : 0.02,{'sex': 0.2}
0.754368138822626,0.50 : 0.00,-0.50 : -0.00,-0.00 : -0.37,-0.00 : -0.09,-0.00 : -0.35,-0.01 : -0.07,-0.00 : -0.18,-0.17 : -0.03,-0.00 : -0.12,-0.12 : -0.02,{'sex': -0.1}
0.7268721620471017,0.50 : 0.00,0.50 : 0.00,-0.00 : -0.50,-0.00 : -0.10,-0.00 : -0.51,-0.00 : -0.14,-0.00 : -0.37,-0.00 : -0.09,-0.00 : -0.25,-0.00 : -0.06,{'sex': -0.2}
0.7649866073474463,-0.50 : -0.00,-0.50 : -0.00,-0.00 : -0.04,0.00 : 0.22,-0.04 : -0.04,0.00 : 0.27,-0.07 : -0.03,0.00 : 0.10,-0.04 : -0.02,0.00 : 0.07,{'race': 0.1}
0.7416042031459709,-0.50 : -0.00,-0.50 : -0.00,-0.00 : -0.04,0.00 : 0.31,-0.01 : -0.05,0.00 : 0.35,-0.04 : -0.04,0.00 : 0.20,-0.02 : -0.02,0.00 : 0.14,{'race': 0.2}
0.766091409078609,-0.50 : -0.00,0.50 : 0.00,-0.00 : -0.10,-0.00 : -0.57,-0.00 : -0.12,-0.00 : -0.62,-0.01 : -0.05,-0.00 : -0.29,-0.00 : -0.03,-0.00 : -0.20,{'race': -0.1}
0.7362393297743677,-0.50 : -0.00,0.50 : 0.00,-0.00 : -0.13,-0.00 : -0.83,-0.00 : -0.14,-0.00 : -0.71,-0.00 : -0.09,-0.00 : -0.55,-0.00 : -0.06,-0.00 : -0.38,{'race': -0.2}
0.7370733413193056,-0.49 : -0.00,-0.50 : -0.00,0.00 : 0.27,0.00 : 0.33,0.00 : 0.26,0.00 : 0.31,0.00 : 0.19,0.00 : 0.24,0.00 : 0.13,0.00 : 0.16,"{'sex': 0.2, 'race': 0.2}"
0.700008036788083,0.50 : 0.00,0.50 : 0.00,-0.00 : -0.49,-0.00 : -0.67,-0.00 : -0.50,-0.00 : -0.66,-0.00 : -0.41,-0.00 : -0.56,-0.00 : -0.28,-0.00 : -0.38,"{'sex': -0.2, 'race': -0.2}"
0.7278868191703265,-0.49 : -0.00,0.50 : 0.00,0.00 : 0.19,-0.00 : -0.59,0.00 : 0.23,-0.00 : -0.53,0.00 : 0.14,-0.00 : -0.45,0.00 : 0.09,-0.00 : -0.30,"{'sex': 0.2, 'race': -0.2}"
0.7092852961864625,0.50 : 0.00,-0.50 : -0.00,-0.00 : -0.45,0.00 : 0.30,-0.00 : -0.46,0.00 : 0.31,-0.00 : -0.37,0.00 : 0.24,-0.00 : -0.24,0.00 : 0.16,"{'sex': -0.2, 'race': 0.2}"
