Accuracy,Train: sex,Train: race,GT Train: sex,GT Train: race,GT Test: sex,GT Test: race,Unbiased Bridge: sex,Unbiased Bridge: race,Biased Bridge: sex,Biased Bridge: race,Inject
0.60,(0.50) 0.00,(0.50) 0.00,(0.50) 0.00,(0.50) 0.00,(0.50) 0.00,(0.50) 0.00,(0.44) -0.01,(0.45) 0.01,(0.45) -0.01,(0.46) 0.00,None
0.58,(0.50) -0.00,(0.50) 0.00,(0.00) 0.40,(0.03) -0.05,(0.00) 0.44,(0.02) -0.10,(0.00) 0.15,(0.29) -0.02,(0.02) 0.11,(0.35) -0.02,{'sex': 0.1}
0.57,(0.50) -0.00,(0.50) 0.00,(0.00) 0.61,(0.00) -0.13,(0.00) 0.56,(0.10) -0.06,(0.00) 0.38,(0.14) -0.05,(0.00) 0.27,(0.22) -0.03,{'sex': 0.2}
0.59,(0.50) 0.00,(0.50) -0.00,(0.00) -0.33,(0.34) -0.01,(0.00) -0.38,(0.37) 0.02,(0.01) -0.12,(0.48) -0.00,(0.06) -0.08,(0.49) -0.00,{'sex': -0.1}
0.59,(0.50) 0.00,(0.50) 0.00,(0.00) -0.43,(0.15) -0.03,(0.00) -0.40,(0.16) 0.05,(0.00) -0.16,(0.37) -0.01,(0.02) -0.11,(0.41) -0.01,{'sex': -0.2}
0.59,(0.50) 0.00,(0.50) -0.00,(0.23) 0.03,(0.00) 0.28,(0.16) 0.04,(0.00) 0.30,(0.48) -0.00,(0.00) 0.12,(0.49) -0.00,(0.03) 0.09,{'race': 0.1}
0.59,(0.50) 0.00,(0.50) -0.00,(0.15) 0.03,(0.00) 0.39,(0.45) -0.01,(0.00) 0.40,(0.44) -0.01,(0.00) 0.21,(0.46) -0.01,(0.00) 0.15,{'race': 0.2}
0.59,(0.50) 0.00,(0.50) 0.00,(0.00) 0.11,(0.00) -0.37,(0.49) -0.00,(0.00) -0.35,(0.24) 0.04,(0.00) -0.15,(0.30) 0.03,(0.01) -0.11,{'race': -0.1}
0.58,(0.50) 0.00,(0.50) 0.00,(0.00) 0.13,(0.00) -0.50,(0.03) 0.11,(0.00) -0.48,(0.10) 0.07,(0.00) -0.27,(0.18) 0.05,(0.00) -0.19,{'race': -0.2}
0.59,(0.50) -0.00,(0.50) -0.00,(0.00) 0.54,(0.00) 0.30,(0.00) 0.61,(0.00) 0.31,(0.00) 0.33,(0.00) 0.20,(0.00) 0.24,(0.00) 0.14,"{'sex': 0.2, 'race': 0.2}"
0.58,(0.50) 0.00,(0.50) 0.00,(0.00) -0.32,(0.00) -0.33,(0.00) -0.25,(0.00) -0.46,(0.00) -0.19,(0.00) -0.22,(0.00) -0.14,(0.00) -0.15,"{'sex': -0.2, 'race': -0.2}"
0.57,(0.50) -0.00,(0.50) 0.00,(0.00) 0.54,(0.00) -0.47,(0.00) 0.50,(0.00) -0.38,(0.00) 0.38,(0.00) -0.32,(0.00) 0.27,(0.00) -0.23,"{'sex': 0.2, 'race': -0.2}"
0.59,(0.50) 0.00,(0.50) -0.00,(0.00) -0.36,(0.00) 0.31,(0.00) -0.34,(0.00) 0.38,(0.00) -0.22,(0.00) 0.18,(0.00) -0.16,(0.00) 0.13,"{'sex': -0.2, 'race': 0.2}"
