Accuracy,Train: age,Train: sex,GT Train: age,GT Train: sex,GT Test: age,GT Test: sex,Unbiased Bridge: age,Unbiased Bridge: sex,Biased Bridge: age,Biased Bridge: sex,Inject
0.71,(0.50) -0.00,(0.50) -0.00,(0.50) 0.00,(0.50) 0.00,(0.50) 0.00,(0.50) 0.00,(0.16) -0.16,(0.38) -0.04,(0.24) -0.12,(0.41) -0.03,None
0.68,(0.50) -0.00,(0.49) -0.00,(0.42) 0.01,(0.00) 0.38,(0.12) 0.25,(0.00) 0.51,(0.37) 0.05,(0.08) 0.18,(0.41) 0.04,(0.17) 0.12,{'sex': 0.1}
0.67,(0.49) -0.00,(0.48) -0.00,(0.21) 0.07,(0.00) 0.57,(0.47) -0.01,(0.00) 0.45,(0.20) 0.13,(0.01) 0.32,(0.28) 0.09,(0.04) 0.23,{'sex': 0.2}
0.68,(0.50) -0.00,(0.50) -0.00,(0.07) -0.15,(0.00) -0.29,(0.08) -0.32,(0.03) -0.29,(0.13) -0.19,(0.06) -0.20,(0.21) -0.13,(0.14) -0.14,{'sex': -0.1}
0.66,(0.50) -0.00,(0.50) 0.00,(0.00) -0.24,(0.00) -0.38,(0.06) -0.23,(0.00) -0.48,(0.44) -0.03,(0.04) -0.23,(0.46) -0.02,(0.11) -0.16,{'sex': -0.2}
0.70,(0.49) -0.00,(0.50) -0.00,(0.00) 0.50,(0.13) 0.09,(0.01) 0.67,(0.08) 0.21,(0.03) 0.32,(0.37) -0.04,(0.08) 0.24,(0.41) -0.03,{'age': 0.1}
0.68,(0.49) -0.00,(0.50) -0.00,(0.00) 0.51,(0.42) 0.02,(0.01) 0.43,(0.04) 0.26,(0.10) 0.20,(0.30) -0.07,(0.18) 0.15,(0.36) -0.05,{'age': 0.2}
0.67,(0.50) 0.00,(0.50) -0.00,(0.00) -0.37,(0.10) -0.11,(0.03) -0.48,(0.23) -0.08,(0.08) -0.22,(0.32) -0.06,(0.16) -0.16,(0.37) -0.04,{'age': -0.1}
0.64,(0.50) 0.00,(0.50) -0.00,(0.00) -0.60,(0.04) -0.14,(0.01) -0.49,(0.22) 0.12,(0.01) -0.41,(0.24) -0.09,(0.04) -0.29,(0.31) -0.06,{'age': -0.2}
0.67,(0.48) -0.00,(0.49) -0.00,(0.00) 0.51,(0.00) 0.27,(0.00) 0.56,(0.00) 0.47,(0.01) 0.39,(0.26) 0.09,(0.04) 0.29,(0.31) 0.06,"{'sex': 0.2, 'age': 0.2}"
0.66,(0.50) 0.00,(0.50) 0.00,(0.00) -0.47,(0.00) -0.36,(0.00) -0.55,(0.00) -0.58,(0.01) -0.44,(0.01) -0.31,(0.03) -0.31,(0.04) -0.22,"{'sex': -0.2, 'age': -0.2}"
0.66,(0.49) 0.00,(0.49) -0.00,(0.00) -0.52,(0.00) 0.24,(0.02) -0.34,(0.00) 0.42,(0.02) -0.36,(0.34) 0.05,(0.06) -0.25,(0.38) 0.04,"{'sex': 0.2, 'age': -0.2}"
0.67,(0.48) -0.00,(0.50) 0.00,(0.00) 0.31,(0.00) -0.23,(0.06) 0.26,(0.27) -0.09,(0.04) 0.30,(0.07) -0.20,(0.09) 0.22,(0.13) -0.14,"{'sex': -0.2, 'age': 0.2}"
